date,open,high,low,close,volume,MA_10,MACD,MACD_signal,ROC_2,Momentum_4,RSI_10,BB_high,BB_low,BB_middle,CCI_20
2003-01-01,1.0492,1.0503,1.0467,1.048,601,1.0369100000000002,0.011034017194668344,0.008842780278903227,0.03818251240931232,0.011200000000000099,84.50558857804918,1.054166754385827,0.9984332456141728,1.0263,141.21495518776055
2003-01-02,1.0479,1.05,1.0335,1.0366,8880,1.03786,0.010255413113677614,0.009125306845858105,-1.1726570693107043,-0.00770000000000004,59.073127784328584,1.0535982709831375,1.0026317290168627,1.0281150000000001,83.30589035983263
2003-01-03,1.0362,1.044,1.034,1.0428,9109,1.0394,0.010023111761178649,0.009304867828922215,-0.4961832061068791,-0.0048000000000001375,65.37091886336789,1.0544750075987834,1.0051249924012167,1.0298,75.44233794002943
2003-01-06,1.042,1.0497,1.0416,1.0447,9405,1.04121,0.009878452732740017,0.009419584809685775,0.7814007331661197,-0.0041999999999999815,67.09501241365692,1.0553728725240497,1.0076071274759504,1.03149,97.65169848525689
2003-01-07,1.0444,1.0457,1.0395,1.0405,9297,1.04223,0.009317498192137341,0.009399167486176089,-0.22056003068660995,-0.007500000000000062,59.78429268470471,1.0546212072036927,1.0116487927963076,1.0331350000000001,66.16291177309013
2003-01-08,1.0409,1.0536,1.0359,1.0501,9379,1.0440299999999998,0.00953763354417636,0.009426860697776145,0.5168948023356056,0.013500000000000068,68.50089990748455,1.05474467685937,1.01567532314063,1.03521,89.87536071713596
2003-01-09,1.0499,1.0543,1.0453,1.0488,9769,1.0452299999999999,0.009497709577321656,0.009441030473685247,0.7976934166266193,0.006000000000000005,66.33748230060361,1.0554979715130628,1.0179720284869371,1.036735,102.54841997961204
2003-01-10,1.0488,1.0588,1.0473,1.0573,9570,1.04653,0.010036256787594233,0.009560075736467045,0.6856489858108631,0.012599999999999945,72.61972785150509,1.0582457699422612,1.0185342300577387,1.03839,127.41010284789941
2003-01-13,1.0579,1.0586,1.0526,1.054,9403,1.04717,0.010080574325128877,0.009664175454199411,0.4958047292143491,0.013500000000000068,67.2090857782103,1.0594983065846955,1.0204516934153047,1.039975,122.69779507133639
2003-01-14,1.054,1.06,1.0535,1.0556,9788,1.0478399999999999,0.010128053030318052,0.00975695096942314,-0.1607869100538932,0.00550000000000006,68.47446356636675,1.0611252280777494,1.0216647719222507,1.041395,122.43030362453905
